function_name,docstring,function_body,file_path
calc_bpd_loop,"Compute the entire variational lower-bound, measured in bits-per-dim,
as well as other related quantities.

:param model: the model to evaluate loss on.
:param x_start: the [N x C x ...] tensor of inputs.
:param clip_denoised: if True, clip denoised samples.
:param model_kwargs: if not None, a dict of extra keyword arguments to
    pass to the model. This can be used for conditioning.

:return: a dict containing the following keys:
         - total_bpd: the total variational lower-bound, per batch element.
         - prior_bpd: the prior term in the lower-bound.
         - vb: an [N x T] tensor of terms in the lower-bound.
         - xstart_mse: an [N x T] tensor of x_0 MSEs for each timestep.
         - mse: an [N x T] tensor of epsilon MSEs for each timestep.","def calc_bpd_loop(self, model, x_start, clip_denoised=False, model_kwargs=None
    ):
    """"""""""""
    device = x_start.device
    batch_size = x_start.shape[0]
    vb = []
    xstart_mse = []
    mse = []
    for t in list(range(self.num_timesteps))[::-1]:
        t_batch = th.tensor([t] * batch_size, device=device)
        noise = th.randn_like(x_start)
        x_t = self.q_sample(x_start=x_start, t=t_batch, noise=noise)
        with th.no_grad():
            out = self._vb_terms_bpd(model, x_start=x_start, x_t=x_t, t=
                t_batch, clip_denoised=clip_denoised, model_kwargs=model_kwargs
                )
        vb.append(out['output'])
        xstart_mse.append(mean_flat((out['pred_xstart'] - x_start) ** 2))
        eps = self._predict_eps_from_xstart(x_t, t_batch, out['pred_xstart'])
        mse.append(mean_flat((eps - noise) ** 2))
    vb = th.stack(vb, dim=1)
    xstart_mse = th.stack(xstart_mse, dim=1)
    mse = th.stack(mse, dim=1)
    prior_bpd = self._prior_bpd(x_start)
    total_bpd = vb.sum(dim=1) + prior_bpd
    return {'total_bpd': total_bpd, 'prior_bpd': prior_bpd, 'vb': vb,
        'xstart_mse': xstart_mse, 'mse': mse}
",point_e\diffusion\gaussian_diffusion.py
scale_channels,,"def scale_channels(self, x: th.Tensor) ->th.Tensor:
    if self.channel_scales is not None:
        x = x * th.from_numpy(self.channel_scales).to(x).reshape([1, -1, *(
            [1] * (len(x.shape) - 2))])
    if self.channel_biases is not None:
        x = x + th.from_numpy(self.channel_biases).to(x).reshape([1, -1, *(
            [1] * (len(x.shape) - 2))])
    return x
",point_e\diffusion\gaussian_diffusion.py
unscale_channels,,"def unscale_channels(self, x: th.Tensor) ->th.Tensor:
    if self.channel_biases is not None:
        x = x - th.from_numpy(self.channel_biases).to(x).reshape([1, -1, *(
            [1] * (len(x.shape) - 2))])
    if self.channel_scales is not None:
        x = x / th.from_numpy(self.channel_scales).to(x).reshape([1, -1, *(
            [1] * (len(x.shape) - 2))])
    return x
",point_e\diffusion\gaussian_diffusion.py
unscale_out_dict,,"def unscale_out_dict(self, out: Dict[str, Union[th.Tensor, Any]]) ->Dict[
    str, Union[th.Tensor, Any]]:
    return {k: (self.unscale_channels(v) if isinstance(v, th.Tensor) else v
        ) for k, v in out.items()}
",point_e\diffusion\gaussian_diffusion.py
__init__,,"def __init__(self, use_timesteps: Iterable[int], **kwargs):
    self.use_timesteps = set(use_timesteps)
    self.timestep_map = []
    self.original_num_steps = len(kwargs['betas'])
    base_diffusion = GaussianDiffusion(**kwargs)
    last_alpha_cumprod = 1.0
    new_betas = []
    for i, alpha_cumprod in enumerate(base_diffusion.alphas_cumprod):
        if i in self.use_timesteps:
            new_betas.append(1 - alpha_cumprod / last_alpha_cumprod)
            last_alpha_cumprod = alpha_cumprod
            self.timestep_map.append(i)
    kwargs['betas'] = np.array(new_betas)
    super().__init__(**kwargs)
",point_e\diffusion\gaussian_diffusion.py
p_mean_variance,,"def p_mean_variance(self, model, *args, **kwargs):
    return super().p_mean_variance(self._wrap_model(model), *args, **kwargs)
",point_e\diffusion\gaussian_diffusion.py
training_losses,,"def training_losses(self, model, *args, **kwargs):
    return super().training_losses(self._wrap_model(model), *args, **kwargs)
",point_e\diffusion\gaussian_diffusion.py
condition_mean,,"def condition_mean(self, cond_fn, *args, **kwargs):
    return super().condition_mean(self._wrap_model(cond_fn), *args, **kwargs)
",point_e\diffusion\gaussian_diffusion.py
condition_score,,"def condition_score(self, cond_fn, *args, **kwargs):
    return super().condition_score(self._wrap_model(cond_fn), *args, **kwargs)
",point_e\diffusion\gaussian_diffusion.py
_wrap_model,,"def _wrap_model(self, model):
    if isinstance(model, _WrappedModel):
        return model
    return _WrappedModel(model, self.timestep_map, self.original_num_steps)
",point_e\diffusion\gaussian_diffusion.py
__init__,,"def __init__(self, model, timestep_map, original_num_steps):
    self.model = model
    self.timestep_map = timestep_map
    self.original_num_steps = original_num_steps
",point_e\diffusion\gaussian_diffusion.py
__call__,,"def __call__(self, x, ts, **kwargs):
    map_tensor = th.tensor(self.timestep_map, device=ts.device, dtype=ts.dtype)
    new_ts = map_tensor[ts]
    return self.model(x, new_ts, **kwargs)
",point_e\diffusion\gaussian_diffusion.py
karras_sample,,"def karras_sample(*args, **kwargs):
    last = None
    for x in karras_sample_progressive(*args, **kwargs):
        last = x['x']
    return last
",point_e\diffusion\k_diffusion.py
karras_sample_progressive,,"def karras_sample_progressive(diffusion, model, shape, steps, clip_denoised
    =True, progress=False, model_kwargs=None, device=None, sigma_min=0.002,
    sigma_max=80, rho=7.0, sampler='heun', s_churn=0.0, s_tmin=0.0, s_tmax=
    float('inf'), s_noise=1.0, guidance_scale=0.0):
    sigmas = get_sigmas_karras(steps, sigma_min, sigma_max, rho, device=device)
    x_T = th.randn(*shape, device=device) * sigma_max
    sample_fn = {'heun': sample_heun, 'dpm': sample_dpm, 'ancestral':
        sample_euler_ancestral}[sampler]
    if sampler != 'ancestral':
        sampler_args = dict(s_churn=s_churn, s_tmin=s_tmin, s_tmax=s_tmax,
            s_noise=s_noise)
    else:
        sampler_args = {}
    if isinstance(diffusion, KarrasDenoiser):

        def denoiser(x_t, sigma):
            _, denoised = diffusion.denoise(model, x_t, sigma, **model_kwargs)
            if clip_denoised:
                denoised = denoised.clamp(-1, 1)
            return denoised
    elif isinstance(diffusion, GaussianDiffusion):
        model = GaussianToKarrasDenoiser(model, diffusion)

        def denoiser(x_t, sigma):
            _, denoised = model.denoise(x_t, sigma, clip_denoised=
                clip_denoised, model_kwargs=model_kwargs)
            return denoised
    else:
        raise NotImplementedError
    if guidance_scale != 0 and guidance_scale != 1:

        def guided_denoiser(x_t, sigma):
            x_t = th.cat([x_t, x_t], dim=0)
            sigma = th.cat([sigma, sigma], dim=0)
            x_0 = denoiser(x_t, sigma)
            cond_x_0, uncond_x_0 = th.split(x_0, len(x_0) // 2, dim=0)
            x_0 = uncond_x_0 + guidance_scale * (cond_x_0 - uncond_x_0)
            return x_0
    else:
        guided_denoiser = denoiser
    for obj in sample_fn(guided_denoiser, x_T, sigmas, progress=progress,
        **sampler_args):
        if isinstance(diffusion, GaussianDiffusion):
            yield diffusion.unscale_out_dict(obj)
        else:
            yield obj
",point_e\diffusion\k_diffusion.py
get_sigmas_karras,Constructs the noise schedule of Karras et al. (2022).,"def get_sigmas_karras(n, sigma_min, sigma_max, rho=7.0, device='cpu'):
    """"""""""""
    ramp = th.linspace(0, 1, n)
    min_inv_rho = sigma_min ** (1 / rho)
    max_inv_rho = sigma_max ** (1 / rho)
    sigmas = (max_inv_rho + ramp * (min_inv_rho - max_inv_rho)) ** rho
    return append_zero(sigmas).to(device)
",point_e\diffusion\k_diffusion.py
to_d,Converts a denoiser output to a Karras ODE derivative.,"def to_d(x, sigma, denoised):
    """"""""""""
    return (x - denoised) / append_dims(sigma, x.ndim)
",point_e\diffusion\k_diffusion.py
get_ancestral_step,"Calculates the noise level (sigma_down) to step down to and the amount
of noise to add (sigma_up) when doing an ancestral sampling step.","def get_ancestral_step(sigma_from, sigma_to):
    """"""""""""
    sigma_up = (sigma_to ** 2 * (sigma_from ** 2 - sigma_to ** 2) / 
        sigma_from ** 2) ** 0.5
    sigma_down = (sigma_to ** 2 - sigma_up ** 2) ** 0.5
    return sigma_down, sigma_up
",point_e\diffusion\k_diffusion.py
sample_euler_ancestral,Ancestral sampling with Euler method steps.,"@th.no_grad()
def sample_euler_ancestral(model, x, sigmas, progress=False):
    """"""""""""
    s_in = x.new_ones([x.shape[0]])
    indices = range(len(sigmas) - 1)
    if progress:
        from tqdm.auto import tqdm
        indices = tqdm(indices)
    for i in indices:
        denoised = model(x, sigmas[i] * s_in)
        sigma_down, sigma_up = get_ancestral_step(sigmas[i], sigmas[i + 1])
        yield {'x': x, 'i': i, 'sigma': sigmas[i], 'sigma_hat': sigmas[i],
            'pred_xstart': denoised}
        d = to_d(x, sigmas[i], denoised)
        dt = sigma_down - sigmas[i]
        x = x + d * dt
        x = x + th.randn_like(x) * sigma_up
    yield {'x': x, 'pred_xstart': x}
",point_e\diffusion\k_diffusion.py
sample_heun,Implements Algorithm 2 (Heun steps) from Karras et al. (2022).,"@th.no_grad()
def sample_heun(denoiser, x, sigmas, progress=False, s_churn=0.0, s_tmin=
    0.0, s_tmax=float('inf'), s_noise=1.0):
    """"""""""""
    s_in = x.new_ones([x.shape[0]])
    indices = range(len(sigmas) - 1)
    if progress:
        from tqdm.auto import tqdm
        indices = tqdm(indices)
    for i in indices:
        gamma = min(s_churn / (len(sigmas) - 1), 2 ** 0.5 - 1
            ) if s_tmin <= sigmas[i] <= s_tmax else 0.0
        eps = th.randn_like(x) * s_noise
        sigma_hat = sigmas[i] * (gamma + 1)
        if gamma > 0:
            x = x + eps * (sigma_hat ** 2 - sigmas[i] ** 2) ** 0.5
        denoised = denoiser(x, sigma_hat * s_in)
        d = to_d(x, sigma_hat, denoised)
        yield {'x': x, 'i': i, 'sigma': sigmas[i], 'sigma_hat': sigma_hat,
            'pred_xstart': denoised}
        dt = sigmas[i + 1] - sigma_hat
        if sigmas[i + 1] == 0:
            x = x + d * dt
        else:
            x_2 = x + d * dt
            denoised_2 = denoiser(x_2, sigmas[i + 1] * s_in)
            d_2 = to_d(x_2, sigmas[i + 1], denoised_2)
            d_prime = (d + d_2) / 2
            x = x + d_prime * dt
    yield {'x': x, 'pred_xstart': denoised}
",point_e\diffusion\k_diffusion.py
sample_dpm,A sampler inspired by DPM-Solver-2 and Algorithm 2 from Karras et al. (2022).,"@th.no_grad()
def sample_dpm(denoiser, x, sigmas, progress=False, s_churn=0.0, s_tmin=0.0,
    s_tmax=float('inf'), s_noise=1.0):
    """"""""""""
    s_in = x.new_ones([x.shape[0]])
    indices = range(len(sigmas) - 1)
    if progress:
        from tqdm.auto import tqdm
        indices = tqdm(indices)
    for i in indices:
        gamma = min(s_churn / (len(sigmas) - 1), 2 ** 0.5 - 1
            ) if s_tmin <= sigmas[i] <= s_tmax else 0.0
        eps = th.randn_like(x) * s_noise
        sigma_hat = sigmas[i] * (gamma + 1)
        if gamma > 0:
            x = x + eps * (sigma_hat ** 2 - sigmas[i] ** 2) ** 0.5
        denoised = denoiser(x, sigma_hat * s_in)
        d = to_d(x, sigma_hat, denoised)
        yield {'x': x, 'i': i, 'sigma': sigmas[i], 'sigma_hat': sigma_hat,
            'denoised': denoised}
        sigma_mid = ((sigma_hat ** (1 / 3) + sigmas[i + 1] ** (1 / 3)) / 2
            ) ** 3
        dt_1 = sigma_mid - sigma_hat
        dt_2 = sigmas[i + 1] - sigma_hat
        x_2 = x + d * dt_1
        denoised_2 = denoiser(x_2, sigma_mid * s_in)
        d_2 = to_d(x_2, sigma_mid, denoised_2)
        x = x + d_2 * dt_2
    yield {'x': x, 'pred_xstart': denoised}
",point_e\diffusion\k_diffusion.py
append_dims,Appends dimensions to the end of a tensor until it has target_dims dimensions.,"def append_dims(x, target_dims):
    """"""""""""
    dims_to_append = target_dims - x.ndim
    if dims_to_append < 0:
        raise ValueError(
            f'input has {x.ndim} dims but target_dims is {target_dims}, which is less'
            )
    return x[(...,) + (None,) * dims_to_append]
",point_e\diffusion\k_diffusion.py
append_zero,,"def append_zero(x):
    return th.cat([x, x.new_zeros([1])])
",point_e\diffusion\k_diffusion.py
__init__,,"def __init__(self, sigma_data: float=0.5):
    self.sigma_data = sigma_data
",point_e\diffusion\k_diffusion.py
get_snr,,"def get_snr(self, sigmas):
    return sigmas ** -2
",point_e\diffusion\k_diffusion.py
get_sigmas,,"def get_sigmas(self, sigmas):
    return sigmas
",point_e\diffusion\k_diffusion.py
get_scalings,,"def get_scalings(self, sigma):
    c_skip = self.sigma_data ** 2 / (sigma ** 2 + self.sigma_data ** 2)
    c_out = sigma * self.sigma_data / (sigma ** 2 + self.sigma_data ** 2
        ) ** 0.5
    c_in = 1 / (sigma ** 2 + self.sigma_data ** 2) ** 0.5
    return c_skip, c_out, c_in
",point_e\diffusion\k_diffusion.py
training_losses,,"def training_losses(self, model, x_start, sigmas, model_kwargs=None, noise=None
    ):
    if model_kwargs is None:
        model_kwargs = {}
    if noise is None:
        noise = th.randn_like(x_start)
    terms = {}
    dims = x_start.ndim
    x_t = x_start + noise * append_dims(sigmas, dims)
    c_skip, c_out, _ = [append_dims(x, dims) for x in self.get_scalings(sigmas)
        ]
    model_output, denoised = self.denoise(model, x_t, sigmas, **model_kwargs)
    target = (x_start - c_skip * x_t) / c_out
    terms['mse'] = mean_flat((model_output - target) ** 2)
    terms['xs_mse'] = mean_flat((denoised - x_start) ** 2)
    if 'vb' in terms:
        terms['loss'] = terms['mse'] + terms['vb']
    else:
        terms['loss'] = terms['mse']
    return terms
",point_e\diffusion\k_diffusion.py
denoise,,"def denoise(self, model, x_t, sigmas, **model_kwargs):
    c_skip, c_out, c_in = [append_dims(x, x_t.ndim) for x in self.
        get_scalings(sigmas)]
    rescaled_t = 1000 * 0.25 * th.log(sigmas + 1e-44)
    model_output = model(c_in * x_t, rescaled_t, **model_kwargs)
    denoised = c_out * model_output + c_skip * x_t
    return model_output, denoised
",point_e\diffusion\k_diffusion.py
__init__,,"def __init__(self, model, diffusion):
    from scipy import interpolate
    self.model = model
    self.diffusion = diffusion
    self.alpha_cumprod_to_t = interpolate.interp1d(diffusion.alphas_cumprod,
        np.arange(0, diffusion.num_timesteps))
",point_e\diffusion\k_diffusion.py
sigma_to_t,,"def sigma_to_t(self, sigma):
    alpha_cumprod = 1.0 / (sigma ** 2 + 1)
    if alpha_cumprod > self.diffusion.alphas_cumprod[0]:
        return 0
    elif alpha_cumprod <= self.diffusion.alphas_cumprod[-1]:
        return self.diffusion.num_timesteps - 1
    else:
        return float(self.alpha_cumprod_to_t(alpha_cumprod))
",point_e\diffusion\k_diffusion.py
denoise,,"def denoise(self, x_t, sigmas, clip_denoised=True, model_kwargs=None):
    t = th.tensor([self.sigma_to_t(sigma) for sigma in sigmas.cpu().numpy()
        ], dtype=th.long, device=sigmas.device)
    c_in = append_dims(1.0 / (sigmas ** 2 + 1) ** 0.5, x_t.ndim)
    out = self.diffusion.p_mean_variance(self.model, x_t * c_in, t,
        clip_denoised=clip_denoised, model_kwargs=model_kwargs)
    return None, out['pred_xstart']
",point_e\diffusion\k_diffusion.py
__init__,,"def __init__(self, device: torch.device, models: Sequence[nn.Module],
    diffusions: Sequence[GaussianDiffusion], num_points: Sequence[int],
    aux_channels: Sequence[str], model_kwargs_key_filter: Sequence[str]=(
    '*',), guidance_scale: Sequence[float]=(3.0, 3.0), clip_denoised: bool=
    True, use_karras: Sequence[bool]=(True, True), karras_steps: Sequence[
    int]=(64, 64), sigma_min: Sequence[float]=(0.001, 0.001), sigma_max:
    Sequence[float]=(120, 160), s_churn: Sequence[float]=(3, 0)):
    n = len(models)
    assert n > 0
    if n > 1:
        if len(guidance_scale) == 1:
            guidance_scale = list(guidance_scale) + [1.0] * (n - 1)
        if len(use_karras) == 1:
            use_karras = use_karras * n
        if len(karras_steps) == 1:
            karras_steps = karras_steps * n
        if len(sigma_min) == 1:
            sigma_min = sigma_min * n
        if len(sigma_max) == 1:
            sigma_max = sigma_max * n
        if len(s_churn) == 1:
            s_churn = s_churn * n
        if len(model_kwargs_key_filter) == 1:
            model_kwargs_key_filter = model_kwargs_key_filter * n
    if len(model_kwargs_key_filter) == 0:
        model_kwargs_key_filter = ['*'] * n
    assert len(guidance_scale) == n
    assert len(use_karras) == n
    assert len(karras_steps) == n
    assert len(sigma_min) == n
    assert len(sigma_max) == n
    assert len(s_churn) == n
    assert len(model_kwargs_key_filter) == n
    self.device = device
    self.num_points = num_points
    self.aux_channels = aux_channels
    self.model_kwargs_key_filter = model_kwargs_key_filter
    self.guidance_scale = guidance_scale
    self.clip_denoised = clip_denoised
    self.use_karras = use_karras
    self.karras_steps = karras_steps
    self.sigma_min = sigma_min
    self.sigma_max = sigma_max
    self.s_churn = s_churn
    self.models = models
    self.diffusions = diffusions
",point_e\diffusion\sampler.py
num_stages,,"@property
def num_stages(self) ->int:
    return len(self.models)
",point_e\diffusion\sampler.py
sample_batch,,"def sample_batch(self, batch_size: int, model_kwargs: Dict[str, Any]
    ) ->torch.Tensor:
    samples = None
    for x in self.sample_batch_progressive(batch_size, model_kwargs):
        samples = x
    return samples
",point_e\diffusion\sampler.py
sample_batch_progressive,,"def sample_batch_progressive(self, batch_size: int, model_kwargs: Dict[str,
    Any]) ->Iterator[torch.Tensor]:
    samples = None
    for model, diffusion, stage_num_points, stage_guidance_scale, stage_use_karras, stage_karras_steps, stage_sigma_min, stage_sigma_max, stage_s_churn, stage_key_filter in zip(
        self.models, self.diffusions, self.num_points, self.guidance_scale,
        self.use_karras, self.karras_steps, self.sigma_min, self.sigma_max,
        self.s_churn, self.model_kwargs_key_filter):
        stage_model_kwargs = model_kwargs.copy()
        if stage_key_filter != '*':
            use_keys = set(stage_key_filter.split(','))
            stage_model_kwargs = {k: v for k, v in stage_model_kwargs.items
                () if k in use_keys}
        if samples is not None:
            stage_model_kwargs['low_res'] = samples
        if hasattr(model, 'cached_model_kwargs'):
            stage_model_kwargs = model.cached_model_kwargs(batch_size,
                stage_model_kwargs)
        sample_shape = batch_size, 3 + len(self.aux_channels), stage_num_points
        if stage_guidance_scale != 1 and stage_guidance_scale != 0:
            for k, v in stage_model_kwargs.copy().items():
                stage_model_kwargs[k] = torch.cat([v, torch.zeros_like(v)],
                    dim=0)
        if stage_use_karras:
            samples_it = karras_sample_progressive(diffusion=diffusion,
                model=model, shape=sample_shape, steps=stage_karras_steps,
                clip_denoised=self.clip_denoised, model_kwargs=
                stage_model_kwargs, device=self.device, sigma_min=
                stage_sigma_min, sigma_max=stage_sigma_max, s_churn=
                stage_s_churn, guidance_scale=stage_guidance_scale)
        else:
            internal_batch_size = batch_size
            if stage_guidance_scale:
                model = self._uncond_guide_model(model, stage_guidance_scale)
                internal_batch_size *= 2
            samples_it = diffusion.p_sample_loop_progressive(model, shape=(
                internal_batch_size, *sample_shape[1:]), model_kwargs=
                stage_model_kwargs, device=self.device, clip_denoised=self.
                clip_denoised)
        for x in samples_it:
            samples = x['pred_xstart'][:batch_size]
            if 'low_res' in stage_model_kwargs:
                samples = torch.cat([stage_model_kwargs['low_res'][:len(
                    samples)], samples], dim=-1)
            yield samples
",point_e\diffusion\sampler.py
combine,,"@classmethod
def combine(cls, *samplers: 'PointCloudSampler') ->'PointCloudSampler':
    assert all(x.device == samplers[0].device for x in samplers[1:])
    assert all(x.aux_channels == samplers[0].aux_channels for x in samplers[1:]
        )
    assert all(x.clip_denoised == samplers[0].clip_denoised for x in
        samplers[1:])
    return cls(device=samplers[0].device, models=[x for y in samplers for x in
        y.models], diffusions=[x for y in samplers for x in y.diffusions],
        num_points=[x for y in samplers for x in y.num_points],
        aux_channels=samplers[0].aux_channels, model_kwargs_key_filter=[x for
        y in samplers for x in y.model_kwargs_key_filter], guidance_scale=[
        x for y in samplers for x in y.guidance_scale], clip_denoised=
        samplers[0].clip_denoised, use_karras=[x for y in samplers for x in
        y.use_karras], karras_steps=[x for y in samplers for x in y.
        karras_steps], sigma_min=[x for y in samplers for x in y.sigma_min],
        sigma_max=[x for y in samplers for x in y.sigma_max], s_churn=[x for
        y in samplers for x in y.s_churn])
",point_e\diffusion\sampler.py
_uncond_guide_model,,"def _uncond_guide_model(self, model: Callable[..., torch.Tensor], scale: float
    ) ->Callable[..., torch.Tensor]:

    def model_fn(x_t, ts, **kwargs):
        half = x_t[:len(x_t) // 2]
        combined = torch.cat([half, half], dim=0)
        model_out = model(combined, ts, **kwargs)
        eps, rest = model_out[:, :3], model_out[:, 3:]
        cond_eps, uncond_eps = torch.chunk(eps, 2, dim=0)
        half_eps = uncond_eps + scale * (cond_eps - uncond_eps)
        eps = torch.cat([half_eps, half_eps], dim=0)
        return torch.cat([eps, rest], dim=1)
    return model_fn
",point_e\diffusion\sampler.py
split_model_output,,"def split_model_output(self, output: torch.Tensor, rescale_colors: bool=False
    ) ->Tuple[torch.Tensor, Dict[str, torch.Tensor]]:
    assert len(self.aux_channels) + 3 == output.shape[1
        ], 'there must be three spatial channels before aux'
    pos, joined_aux = output[:, :3], output[:, 3:]
    aux = {}
    for i, name in enumerate(self.aux_channels):
        v = joined_aux[:, i]
        if name in {'R', 'G', 'B', 'A'}:
            v = v.clamp(0, 255).round()
            if rescale_colors:
                v = v / 255.0
        aux[name] = v
    return pos, aux
",point_e\diffusion\sampler.py
output_to_point_clouds,,"def output_to_point_clouds(self, output: torch.Tensor) ->List[PointCloud]:
    res = []
    for sample in output:
        xyz, aux = self.split_model_output(sample[None], rescale_colors=True)
        res.append(PointCloud(coords=xyz[0].t().cpu().numpy(), channels={k:
            v[0].cpu().numpy() for k, v in aux.items()}))
    return res
",point_e\diffusion\sampler.py
with_options,,"def with_options(self, guidance_scale: float, clip_denoised: bool,
    use_karras: Sequence[bool]=(True, True), karras_steps: Sequence[int]=(
    64, 64), sigma_min: Sequence[float]=(0.001, 0.001), sigma_max: Sequence
    [float]=(120, 160), s_churn: Sequence[float]=(3, 0)) ->'PointCloudSampler':
    return PointCloudSampler(device=self.device, models=self.models,
        diffusions=self.diffusions, num_points=self.num_points,
        aux_channels=self.aux_channels, model_kwargs_key_filter=self.
        model_kwargs_key_filter, guidance_scale=guidance_scale,
        clip_denoised=clip_denoised, use_karras=use_karras, karras_steps=
        karras_steps, sigma_min=sigma_min, sigma_max=sigma_max, s_churn=s_churn
        )
",point_e\diffusion\sampler.py
get_torch_devices,,"def get_torch_devices() ->List[Union[str, torch.device]]:
    if torch.cuda.is_available():
        return [torch.device(f'cuda:{i}') for i in range(torch.cuda.
            device_count())]
    else:
        return ['cpu']
",point_e\evals\feature_extractor.py
normalize_point_clouds,,"def normalize_point_clouds(pc: np.ndarray) ->np.ndarray:
    centroids = np.mean(pc, axis=1, keepdims=True)
    pc = pc - centroids
    m = np.max(np.sqrt(np.sum(pc ** 2, axis=-1, keepdims=True)), axis=1,
        keepdims=True)
    pc = pc / m
    return pc
",point_e\evals\feature_extractor.py
supports_predictions,,"@property
@abstractmethod
def supports_predictions(self) ->bool:
    pass
",point_e\evals\feature_extractor.py
feature_dim,,"@property
@abstractmethod
def feature_dim(self) ->int:
    pass
",point_e\evals\feature_extractor.py
num_classes,,"@property
@abstractmethod
def num_classes(self) ->int:
    pass
",point_e\evals\feature_extractor.py
features_and_preds,"For a stream of point cloud batches, compute feature vectors and class
predictions.

:param point_clouds: a streamer for a sample batch. Typically, arr_0
                     will contain the XYZ coordinates.
:return: a tuple (features, predictions)
         - features: a [B x feature_dim] array of feature vectors.
         - predictions: a [B x num_classes] array of probabilities.","@abstractmethod
def features_and_preds(self, streamer: NpzStreamer) ->Tuple[np.ndarray, np.
    ndarray]:
    """"""""""""
",point_e\evals\feature_extractor.py
__init__,,"def __init__(self, devices: List[Union[str, torch.device]],
    device_batch_size: int=64, cache_dir: Optional[str]=None):
    state_dict = load_checkpoint('pointnet', device=torch.device('cpu'),
        cache_dir=cache_dir)['model_state_dict']
    self.device_batch_size = device_batch_size
    self.devices = devices
    self.models = []
    for device in devices:
        model = get_model(num_class=40, normal_channel=False, width_mult=2)
        model.load_state_dict(state_dict)
        model.to(device)
        model.eval()
        self.models.append(model)
",point_e\evals\feature_extractor.py
supports_predictions,,"@property
def supports_predictions(self) ->bool:
    return True
",point_e\evals\feature_extractor.py
feature_dim,,"@property
def feature_dim(self) ->int:
    return 256
",point_e\evals\feature_extractor.py
num_classes,,"@property
def num_classes(self) ->int:
    return 40
",point_e\evals\feature_extractor.py
features_and_preds,,"def features_and_preds(self, streamer: NpzStreamer) ->Tuple[np.ndarray, np.
    ndarray]:
    batch_size = self.device_batch_size * len(self.devices)
    point_clouds = (x['arr_0'] for x in streamer.stream(batch_size, ['arr_0']))
    output_features = []
    output_predictions = []
    with ThreadPool(len(self.devices)) as pool:
        for batch in point_clouds:
            batch = normalize_point_clouds(batch)
            batches = []
            for i, device in zip(range(0, len(batch), self.
                device_batch_size), self.devices):
                batches.append(torch.from_numpy(batch[i:i + self.
                    device_batch_size]).permute(0, 2, 1).to(dtype=torch.
                    float32, device=device))

            def compute_features(i_batch):
                i, batch = i_batch
                with torch.no_grad():
                    return self.models[i](batch, features=True)
            for logits, _, features in pool.imap(compute_features,
                enumerate(batches)):
                output_features.append(features.cpu().numpy())
                output_predictions.append(logits.exp().cpu().numpy())
    return np.concatenate(output_features, axis=0), np.concatenate(
        output_predictions, axis=0)
",point_e\evals\feature_extractor.py
compute_statistics,,"def compute_statistics(feats: np.ndarray) ->FIDStatistics:
    mu = np.mean(feats, axis=0)
    sigma = np.cov(feats, rowvar=False)
    return FIDStatistics(mu, sigma)
",point_e\evals\fid_is.py
compute_inception_score,,"def compute_inception_score(preds: np.ndarray, split_size: int=5000) ->float:
    scores = []
    for i in range(0, len(preds), split_size):
        part = preds[i:i + split_size]
        kl = part * (np.log(part) - np.log(np.expand_dims(np.mean(part, 0), 0))
            )
        kl = np.mean(np.sum(kl, 1))
        scores.append(np.exp(kl))
    return float(np.mean(scores))
",point_e\evals\fid_is.py
__init__,,"def __init__(self, mu: np.ndarray, sigma: np.ndarray):
    self.mu = mu
    self.sigma = sigma
",point_e\evals\fid_is.py
frechet_distance,Compute the Frechet distance between two sets of statistics.,"def frechet_distance(self, other, eps=1e-06):
    """"""""""""
    mu1, sigma1 = self.mu, self.sigma
    mu2, sigma2 = other.mu, other.sigma
    mu1 = np.atleast_1d(mu1)
    mu2 = np.atleast_1d(mu2)
    sigma1 = np.atleast_2d(sigma1)
    sigma2 = np.atleast_2d(sigma2)
    assert mu1.shape == mu2.shape, f'Training and test mean vectors have different lengths: {mu1.shape}, {mu2.shape}'
    assert sigma1.shape == sigma2.shape, f'Training and test covariances have different dimensions: {sigma1.shape}, {sigma2.shape}'
    diff = mu1 - mu2
    covmean, _ = linalg.sqrtm(sigma1.dot(sigma2), disp=False)
    if not np.isfinite(covmean).all():
        msg = (
            'fid calculation produces singular product; adding %s to diagonal of cov estimates'
             % eps)
        warnings.warn(msg)
        offset = np.eye(sigma1.shape[0]) * eps
        covmean = linalg.sqrtm((sigma1 + offset).dot(sigma2 + offset))
    if np.iscomplexobj(covmean):
        if not np.allclose(np.diagonal(covmean).imag, 0, atol=0.001):
            m = np.max(np.abs(covmean.imag))
            raise ValueError('Imaginary component {}'.format(m))
        covmean = covmean.real
    tr_covmean = np.trace(covmean)
    return diff.dot(diff) + np.trace(sigma1) + np.trace(sigma2
        ) - 2 * tr_covmean
",point_e\evals\fid_is.py
_npz_paths_and_length,,"def _npz_paths_and_length(glob_path: str) ->Tuple[List[str], Optional[int]]:
    count_match = re.match('^(.*)\\[:([0-9]*)\\]$', glob_path)
    if count_match:
        raw_path = count_match[1]
        max_count = int(count_match[2])
    else:
        raw_path = glob_path
        max_count = None
    paths = sorted(glob.glob(raw_path))
    if not len(paths):
        raise ValueError(f'no paths found matching: {glob_path}')
    return paths, max_count
",point_e\evals\npz_stream.py
